framenr,kanji,keyword,public,last_edited,story
107,兄,"elder brother",0,2018-06-11 10:38:31,"The elder brother has a big mouth."
108,呪,"curse",0,2018-06-11 10:38:51,"My elder brother is cursed with an extra mouth."
109,克,"overcome",0,2018-06-11 10:39:46,"My elder brother overcame his drug addiction."
110,小,"little",0,2018-06-13 10:34:38,"Little little little drops..."
111,少,"few",0,2018-06-13 10:35:05,"Few usually refers to three. To emphasize three, we underline the three drops in little."
112,大,"large",0,2018-06-13 10:35:29,"A person stretching their arms and legs to look large and scare a bear away."
113,多,"many",0,2018-06-13 10:35:46,"Many *moons* ago.. or perhaps it was just a couple of *evenings*, I can't remember."
114,夕,"evening",0,2018-06-13 10:35:56,"The evening is young, the *moon* is not full."
115,汐,"eventide",0,2018-06-13 10:36:17,"Eventide is just another word for evening, and it has the word tide in it which we associate with water."
116,外,"outside",0,2018-06-13 10:36:37,"It's dangerous to go (outside) alone (in the evening)! Here, take this (stick)! /Zelda"
117,名,"name",0,2018-06-13 10:37:05,"In the evening, her sweet mouth whispered my name."
118,石,"stone",0,2018-06-13 10:40:13,"Under the cliff was a cave opening blocked by a large stone."
119,肖,"resemblance",0,2018-06-13 10:40:56,"A spark resembles a candle"
120,硝,"nitrate",0,2018-06-13 10:41:11,"Add nitrate to sulfur (=brim*stone*) and charcoal and watch it *spark*."
121,砕,"smash",0,2018-06-27 22:16:10,"To get a smash hit, you need to hit the rock with a baseball bat covered with needles."
122,砂,"sand",0,2018-08-13 19:44:08,"*Rocks* are *few* and far between in the sand."
123,妬,"jealous",0,2018-06-26 10:29:18,"The women is jealous of the stone on another's hand"
124,削,"plane",0,2018-06-29 18:12:31,"*Sparks* will fly if you attempt to PLANE your *sabre*."
125,光,"ray",0,2018-07-03 20:57:44,"#Little legs# at play are a ray of light in my day."
126,太,"plump",0,2018-06-26 10:30:25,"A *large* person with a big *drop* of sweat dripping off of him because he is so plump."
127,器,"utensil",0,2018-06-26 10:30:44,"Imagine four hungry *mouths* all sitting around the table.  They are all banging their #utensils# on the table waiting for a *big* meal to be placed in the centre."
128,臭,"stinking",0,2018-06-26 10:30:58,"You stinking *nosy dog*."
129,嗅,"sniff",0,2018-06-26 10:34:20,"#Smell#. *Mouth* agape, *nose* in the air, a *chihuahua* #smells# some BBQ miles away. NOTE: Assigned keyword ""sniff"" in RTK Newly Approved General Use Kanji Supplement."
130,妙,"exquisite",0,2018-07-02 19:35:44,"exquisite *women* are *few* and far between."
131,省,"focus",0,2018-07-21 18:39:21,"Pick up a few things and put them closer to your eye to focus on them."
132,厚,"thick",0,2018-07-02 19:38:17,"#Thick# headed people were probably raised under a *cliff* and over the *sun* when they were *kids*."
133,奇,"strange",0,2018-06-26 10:36:09,"A St Bernard small enough to fit it’s whole body on a soda can? How strange!"
134,川,"stream",0,2018-06-27 22:07:13,"There are *three* default I/O #Streams# in UNIX, stdin, stdout, and stderr."
135,州,"state",0,2018-06-27 22:07:30,"There are many states whose borders are determined by streams that surround them"
136,順,"obey",0,2018-06-27 22:08:11,"""Obey, Obey!"" says the brain-washing scientist as he sends a *stream* of orders to fill your *head*."
137,水,"water",0,2018-06-27 22:08:28,"The kanji for water is an abstract primitive itself, so unless one is willing to break down its etymological development, it should just simply be memorized by strokes;  constructing a story is not necessarily useful unless it strongly denotes its shape (I find that Heisig's story doesn't do this)."
138,氷,"icicle",0,2018-06-27 22:08:43,"Icicles start with 1 frozen *drop* of *water*"
139,永,"eternity",0,2018-06-27 22:09:02,"When you look at the sea it looks like goes on for eternity, but in actuality it is just a *drop of water* in the grand scheme of things."
140,泉,"spring (water)",0,2018-06-27 22:09:54,"Perhaps the most common appearance of this kanji is in the word 温泉 (おんせん, onsen), a Japanese hot spring. The kanji is an excellent image of someone enjoying a Japanese hot spring: a little *white* towel on top, *water* below. (This helps keep all associations: spring, little and onsen)."
141,腺,"gland",0,2018-06-27 22:10:42,"If you were to dig into your FLESH and pull out a lymph GLAND, a lot of WHITE WATER will SPRING forth from it."
142,原,"meadow",0,2018-06-27 22:11:51,"The Sound of Music lady dodges the springs while prancing up the mountain. She jumps off the cliff and lands in a flowery meadow."
143,願,"petition",0,2018-06-27 22:12:06,"We need to #petition# and #request# the heads of our government to save the *meadow* where all life *originated*."
144,泳,"swim",0,2018-08-13 19:45:46,"To SWIM is to have mastered *water* for all of *eternity*."
145,沼,"marsh",0,2018-06-27 22:12:44,"The marsh's *waters* *seduced* the thirsty travelers."
146,沖,"open sea",0,2018-07-03 21:04:27,"*Water* in the *middle* of the ocean is referred to as open sea."
147,汎,"pan-",0,2018-06-27 22:13:13,"Pan-Mediocre Water Sports Competition."
148,江,"creek",0,2018-06-27 22:13:46,"A child dug a creek as his water-craft"
149,汰,"cleanse",0,2018-06-29 17:40:05,"If you are FAT, it takes more WATER to CLEANSE you."
150,汁,"soup",0,2018-06-29 17:40:13,"Only the best soup is made with WATER and at least TEN ingredients"
151,沙,"grains of sand",0,2018-06-29 17:41:50,"To keep this separated from {砂}: *Water* erodes away stone a *few* grains of sand at a time until there is no stone left."
152,潮,"tide",0,2018-06-29 17:42:03,"The morning tide is basically, well, WATER in the MORNING."
153,源,"source",0,2018-07-02 19:57:48,"The source of the *water* is beneath the *meadows*."
154,活,"lively",0,2018-06-29 17:42:38,"Conversations can become more lively after everyone has had a few drinks. It's because ""*water*y *tongue*s"" loosen lips!"
155,消,"extinguish",0,2018-06-29 17:42:46,"*Water* on *sparks*, extinguishes fire before it even begins!"
156,況,"but of course",0,2018-07-09 17:33:49,"Did the teenager take a shower? But of course!"
157,河,"river",0,2018-06-29 17:43:20,"A river CAN exist only if there is WATER."
158,泊,"overnight",0,2018-07-05 21:03:55,"Water and clean white sheets are all I need to stay overnight."
159,湖,"lake",0,2018-06-29 17:43:53,"water reflects the old moon in the lake."
160,測,"fathom",0,2018-07-11 09:54:42,"You can't fathom how deep this *water* is.  Perhaps you should use a *ruler* to measure it?"
161,土,"soil",0,2018-07-02 19:06:06,"Soil is neither positive nor negative."
162,吐,"spit",0,2018-07-02 19:06:17,"SPIT goes from my MOUTH to the GROUND."
163,圧,"pressure",0,2018-07-02 19:06:29,"PRESSURE holds DIRT together into a CLIFF"
164,埼,"cape",0,2018-07-02 19:09:13,"This strange land is Cape Cod."
165,垣,"hedge",0,2018-07-21 18:50:01,"The hedge maze on the fair*grounds* took the *span* of an entire day to finish."
166,填,"inlay",0,2018-07-02 19:10:54,"The truth is inlaid in the land."
167,圭,"squared jewel",0,2018-07-02 19:11:14,"Piling *SOIL* upon *SOIL* for aeons is how SQUARE JEWELS are formed deep in the earth."
168,封,"seal",0,2018-07-02 19:11:57,"I seal my letters by gluing ivy to them."
169,涯,"horizon",0,2018-07-02 19:13:16,"On the horizon, an ivy-laden cliff pops out of the water."
170,寺,"Buddhist temple",0,2018-07-02 19:13:46,"At the Buddhist temple the monks are seated on the *ground*, *glued* there in meditation."
171,時,"time",0,2018-07-02 19:14:41,"Time is determined by the sun rising over the Buddhist temple"
172,均,"level",0,2018-07-02 19:15:15,"*Soil* is scooped up into a *ladel*. The extra *drop* is brushed off to make it level."
173,火,"fire",0,2018-07-02 19:15:24,"FIRE"
174,炎,"inflammation",0,2018-07-02 19:15:37,"To fight #fire# with #fire# would just #inflame# a situation."
175,煩,"anxiety",0,2018-07-02 19:15:46,"An anxiety feels like FIRE in the HEAD."
176,淡,"thin",0,2018-07-03 20:37:38,"Adding *water* to an *inflammation* sure will make it a #thin# *fire*."
177,灯,"lamp",0,2018-07-03 20:38:12,"A nerfed or nailed fire makes for a good lamp."
178,畑,"farm",0,2018-07-03 20:38:53,"All a farmer needs is a fireplace and a rice patch."
179,災,"disaster",0,2018-07-03 20:39:16,"floods and fires are natures two worst disasters"
180,灰,"ashes",0,2018-07-03 20:39:35,"Throw the ashes from the fireplace over the cliff."
181,点,"spot",0,2018-07-03 20:40:39,"A fortune-teller stares into her calderon's flames and sees spots."
182,照,"illuminate",0,2018-07-07 16:31:33,"If you put a seductive something in the oven, it will illuminate."
183,魚,"fish",0,2018-07-03 20:42:39,"A fish is caught up (or *bound up*) in a net, its head is cut off and thrown into the *rice field*, and is cooked by the *flame* to serve."
184,漁,"fishing",0,2018-07-03 20:44:03,"To go fishing, go into the water and catch some fish!"
186,黒,"black",0,2018-07-05 20:44:51,"The monitor will turn black If your computer overheats."
187,墨,"black ink",1,2018-07-05 20:46:51,"When Mary-san brought a plant in, some of the black dirt from the pot spoiled the white floor, as if black ink had been set on a white piece of paper."
188,鯉,"carp",0,2018-07-05 20:47:29,"Parents wished their children had the esteem of a carp and the memory of a computer."
189,量,"quantity",0,2018-07-05 20:47:48,"A quantity can be a measure of time or space (day/ri)."
190,厘,"rin",0,2018-07-05 20:48:25,"The value of this old computer jumped off the cliff, much like the rin."
191,埋,"bury",0,2018-07-05 20:50:59,"Bury the old computer that has served us well."
192,同,"same",0,2018-10-04 11:13:14,"Same one monk."
193,洞,"den",0,2018-07-05 20:51:23,"All the animals in the den share the *same* *water*"
194,胴,"trunk",0,2018-07-05 20:52:00,"Lumberjack chopping up the bodies to be the same"
195,向,"yonder",0,2018-07-05 20:52:18,"The alien's ship is over yonder"
196,尚,"esteem",0,2018-07-05 20:53:02,"The small glass enclosure holds the mouth of an esteem ancestor"
197,字,"character",0,2018-07-05 20:53:44,"The child was raised in this house where he learned the characters."
198,守,"guard",0,2018-07-05 20:54:01,"The guards stuck to this house like glue."
199,完,"perfect",0,2018-07-11 09:24:02,"To ensure your house is perfect, you must oversee its construction from the beginning."
200,宣,"proclaim",1,2018-07-05 20:56:26,"Those missionary guys went from house to house, morning to sunrise, proclaiming the word of the lord."
201,宵,"wee hours",0,2019-02-28 13:30:00,"in the wee hours keep the light on in the house"
203,宴,"banquet",0,2019-02-08 13:14:14,"The only thing between woman and her relaxation is the banquet she has to put on at the end of the day"
204,寄,"draw near",0,2018-07-09 17:36:55,"This haunted/strange house made me feel weird as I drew near."
205,富,"wealth",0,2018-07-09 17:34:38,"The wealth (primitive) is kept under the house."
206,貯,"savings",0,2018-07-21 19:40:57,"To ensure you won't use your savings immediately, you must nail your shells into a rafter in your house."
210,桂,"Japanese Judas-tree",0,2018-07-11 09:25:38,"Simple mnemonic : ""The Japanese Judas-tree is the *tree* on which Judas hang himself to the *ivy*"" (Judas the traitor of the Christian bible). Just picture Judas hanging himself, using *ivy* as a if it was a rope."
211,柏,"oak",0,2018-07-11 09:26:29,"Professor Oak (named after a tree + has white hair and white coat)"
213,梢,"treetops",0,2018-07-10 11:04:37,"Affixing candles to the treetops of trees was believed to lure the sun back."
214,棚,"shelf",0,2019-04-16 12:00:29,"A shelf is a book's *wooden companion*."
215,杏,"apricot",0,2018-12-04 22:43:53,"wait for it to grow"
216,桐,"paulownia",0,2018-07-10 11:09:46,"The Buddhist monks prayed beside the Paulownia tree."
217,植,"plant",0,2018-07-09 17:32:31,"You have no doubt seen how people practicing the Japanese art of bonsai take those helpless little saplings and twist them into crippled dwarves before they have a chance to grow up as they should. The more proper way to plant a young tree and give it a fair shake in life is to set it into the earth in such a way that it can grow up straight—and straightaway."
219,枯,"wither",0,2018-08-13 20:07:48,"A tree withers away as it gets old."
220,朴,"crude",0,2018-07-21 19:21:38,"Rather than thinking of crude as crude oil, think if it as terms of a magic wand. To preserve the magical power of a wooden magic wand (or tree branch), one must not alter its form (keep in a crude form)"
221,村,"village",0,2018-07-21 19:25:32,"A village's area is enclosed by streets.
A town's area, however, is measured by distance between trees."
224,本,"book",0,2018-07-10 11:16:29,"A lumberjack cuts a piece of the trunk of the tree and gives it to you. He says ""use this to make a book""."
226,暦,"calendar",0,2018-07-11 09:30:46,"This calendar will chronicle the growth of the trees in the grove as the days go by until the trees grow higher than that cliff."
227,案,"plan",0,2018-07-21 19:29:42,"He relaxed in the hammock (between trees) as he started thinking about vacation plans."
228,燥,"parch",0,2018-07-11 09:31:35,"You must dry up the wooden goods to make parchment."
231,昧,"obscure",0,2018-07-21 19:30:40,"Obscure ideas are ideas that the sun of reason as *not yet* shown on."
232,沫,"splash",0,2019-07-31 21:04:01,"The *extremity* of a wave of *water* is the splash."
233,味,"flavor",0,2018-07-21 19:33:58,"A professional taster tastes the fruit produced by trees that have not yet grown to determine its flavor."
234,妹,"younger sister",0,2018-07-10 11:13:15,"The younger sister in the family is the woman in the family who, like the newest branch in a tree, is not yet old enough or mature
enough to do everything the elder sister can do."
236,株,"stocks",0,2018-07-21 19:36:36,"Stocks get their names from trees, so imagine people buying stocks depending one whether a tree will produce vermilion leaves."
237,若,"young",0,2018-07-10 11:01:16,"Picking a flower with your right hand will grant you an eternal young life."
240,苛,"bullying",0,2019-03-10 18:55:37,"Giving flowers is a nice gesture, but if those flowers are poisonous, it can lead to bullying"
241,寛,"tolerant",0,2019-02-10 21:58:29,"Look at your flower house"
242,薄,"dilute",0,2018-07-11 09:53:00,"The doctor used flowers instead of needles to dilute the patient's blood with water."
244,模,"imitation",0,2018-07-22 15:17:16,"Modern graveyards have become a cheap imitation of the original. Why, even the trees are fake!"
245,漠,"vague",0,2018-07-08 14:44:35,"The wet, foggy, graveyard gave everything a vague appearance"
246,墓,"grave",0,2019-02-07 20:40:52,"the actual grave is in the dirt"
247,暮,"livelihood",0,2018-07-22 15:18:34,"The livelihood of the grave-keeper consisted of checking on the graveyard each day."
248,膜,"membrane",0,2018-07-22 15:21:11,"He was so scared strolling through the graveyard, his membrane got goosebumps!"
252,眺,"stare",0,2018-07-22 15:25:23,"Staring his eyes foretold/portented evil."
254,状,"status quo",0,2018-07-22 15:28:18,"Imagine watching Garden of Words only to find the teacher was replaced with a turtle and the kid with a chihuahua. They sure broke the status quo."
255,黙,"silence",0,2018-07-22 15:41:10,"Hello, Darkness, my old friend."
256,然,"sort of thing",0,2018-07-22 15:46:51,"The flesh of a chihuahua thrown into an oven flame makes for a good sort of thing."
258,狩,"hunt",0,2018-08-13 20:20:00,"A hunter *guards* his keep from a *pack of wild dogs*."
261,特,"special",0,2018-07-22 15:49:34,"What's on special today? Oh look, sacred *cow* meat! Officially blessed by the *Buddhist temple*!"
262,告,"revelation",0,2018-07-22 15:54:19,"They won't listen to revelations unless a *cow* came up to them and told them through his *mouth*."
263,先,"before",0,2018-07-22 15:55:21,"Have you ever seen a *cow* with* human legs* before?"
264,洗,"wash",0,2018-07-22 15:57:55,"What if Pigpen washed himself? Instead of leaving a trail of dirt *before* him, a trail of *water* droplets would come *before* him."
265,介,"jammed in",0,2018-07-22 16:03:36,"Imagine needing to run home in the rain, then, when finally arriving home, hastily jamming in your *umbrella* the wrong way into a *walking stick* holder."
266,界,"world",0,2018-07-22 16:07:38,"As the world gets more and more populated, we might need to section off areas with *rice fields* and *jam* all those people into them."
267,茶,"tea",0,2018-07-22 16:29:48,"The tea *flowers* must be kept in the shade, so cover it with a *canopy* and and support it with *wooden poles*."
268,脊,"spinal column",0,2018-07-22 16:39:48,"The spinal column protects your flesh from falling apart like a *doubly*-reinforced *umbrella* defending you from heavy rain."
269,合,"fit",0,2018-07-22 16:42:57,"Your jeans won't fit and you are late to a *meeting*, so you suck it up and use your *mouth* to pull up the zipper."
270,塔,"pagoda",0,2018-07-22 16:45:09,"The pagoda was built using *soil* bricks that were nicely *fitted* with *flowers*."
273,宝,"treasure",0,2018-08-13 20:25:18,"A king keeps his jewels in his house."
274,珠,"pearl",0,2018-07-22 16:48:01,"To keep your pearly whites from turning brown or *vermilion*, the dentist put cotton *balls* in your mouth."
275,現,"present",0,2018-07-22 16:51:00,"What's going on at home at the present moment? I'll look into my crystal ball to find out!"
276,玩,"toy",0,2019-03-04 20:18:48,"toys r us has been there since the beginning, selling balls"
277,狂,"lunatic",0,2021-04-21 20:15:10,"That lunatic is the *wild dog* 犭 *king* 王!"
278,旺,"effulgent",0,2018-07-22 16:51:38,"The sun is the effulgent king of the solar system."
279,皇,"emperor",0,2019-01-07 09:44:25,"The emperor keeps a white dove on his throne."
280,呈,"display",0,2018-08-13 20:36:23,"Everything a KING says with his MOUTH is just for DISPLAY, not what he really believes"
281,全,"whole",0,2018-08-13 20:38:02,"Everyone is a *king* of everything under their *umbrella*, ruling over the whole."
282,栓,"plug",0,2018-08-13 20:38:48,"Plug the *whole* up with a wooden object."
283,理,"logic",0,2018-08-22 20:51:24,"Computers are ruled by logic (it is the king of computers)."
285,注,"pour",0,2019-05-23 17:52:07,"Would you like me to pour you some *water*, my *lord*?"
286,柱,"pillar",0,2019-07-09 00:05:43,"The pillar referred to here is the wooden beam that stands at the entrance to a traditional Japanese house. Carve it in imagination into the shape of a gigantic candlestick and your work is done."
288,銑,"pig iron",0,2018-08-22 20:58:10,"*Pig iron* is METAL BEFORE it has been processed."
290,銅,"copper",0,2020-04-15 19:35:22,"Copper is the *same* *metal* used in pennies!"
291,釣,"angling",0,2019-04-04 18:11:21,"Angling with a golden ladle"
292,針,"needle",0,2018-08-25 15:00:28,"An actual needle is made of metal, perhaps gold."
293,銘,"inscription",0,2018-08-25 15:01:21,"Your name is inscribed in gold when you get a trophy."
